Mo,Ba,Cr,Sr,Pb,B,Mg,Ca,K,Aroma
0.044,0.387,0.029,1.23,0.561,2.63,128.0,80.5,1130,3.3
0.16,0.312,0.038,0.975,0.697,6.21,193.0,75.0,1010,4.4
0.146,0.308,0.035,1.14,0.73,3.05,127.0,91.0,1160,3.9
0.191,0.165,0.036,0.927,0.796,2.57,112.0,93.6,924,3.9
0.363,0.38,0.059,1.13,1.73,3.07,138.0,84.6,1090,5.6
0.106,0.275,0.019,1.05,0.491,6.56,172.0,112.0,1290,4.6
0.479,0.164,0.062,0.823,2.06,4.57,179.0,122.0,1170,4.8
0.234,0.271,0.044,0.963,1.09,3.18,145.0,91.9,1020,5.3
0.058,0.225,0.022,1.13,0.048,6.13,113.0,70.2,1240,4.3
0.074,0.329,0.03,1.07,0.552,3.3,140.0,74.7,1100,4.3
0.071,0.105,0.028,0.491,0.31,6.56,103.0,67.9,1090,5.1
0.147,0.301,0.087,2.14,0.546,3.5,199.0,66.3,1470,3.3
0.116,0.166,0.041,0.578,0.518,6.43,111.0,83.8,1120,5.9
0.166,0.132,0.026,0.229,0.699,7.27,107.0,44.9,854,7.7
0.261,0.078,0.063,0.156,1.02,5.04,94.6,54.9,899,7.1
0.191,0.085,0.063,0.192,0.777,5.56,110.0,64.1,976,5.5
0.009,0.072,0.021,0.172,0.232,3.79,75.9,48.1,995,6.3
0.027,0.094,0.021,0.358,0.025,4.24,80.9,57.6,876,5.0
0.05,0.294,0.006,1.12,0.206,2.71,120.0,64.8,1050,4.6
0.268,0.099,0.045,0.36,1.28,5.68,98.4,64.3,945,6.4
0.245,0.071,0.053,0.186,1.19,4.42,87.6,70.6,820,5.5
0.161,0.181,0.06,0.898,0.747,8.11,160.0,82.1,1220,4.7
0.146,0.328,0.1,1.32,0.604,6.42,134.0,83.2,1810,4.1
0.155,0.081,0.037,0.164,0.767,4.91,86.5,53.9,1020,6.0
0.126,0.299,0.054,0.995,0.686,6.94,129.0,85.9,1330,4.3
