pclass,survived,sex,age,sibsp,parch,fare,embarked
3,1,female,18.0,0.0,0.0,7.2292,C
1,1,male,27.0,0.0,0.0,30.5,S
2,1,female,8.0,0.0,2.0,26.25,S
3,0,male,32.0,0.0,0.0,7.75,Q
1,1,female,24.0,3.0,2.0,263.0,S
3,0,male,40.0,1.0,1.0,15.5,Q
1,0,male,29.0,0.0,0.0,30.0,S
1,1,female,38.0,0.0,0.0,227.525,C
3,0,male,28.0,0.0,0.0,7.8958,S
3,0,male,22.0,0.0,0.0,7.25,S
3,0,female,22.0,0.0,0.0,39.6875,S
3,0,male,32.0,0.0,0.0,22.525,S
1,0,male,46.0,0.0,0.0,75.2417,C
1,0,male,65.0,0.0,1.0,61.9792,C
3,1,female,17.0,0.0,1.0,16.1,S
1,1,male,48.0,1.0,0.0,52.0,S
3,1,female,16.0,0.0,0.0,7.7333,Q
3,0,male,19.0,0.0,0.0,8.05,S
2,0,male,32.0,0.0,0.0,13.5,S
1,0,male,17.0,0.0,0.0,47.1,S
1,1,female,22.0,0.0,1.0,55.0,S
3,1,female,22.0,0.0,0.0,8.9625,S
3,0,male,17.0,0.0,0.0,7.8958,S
1,1,female,23.0,3.0,2.0,263.0,S
3,0,male,10.0,3.0,2.0,27.9,S
3,0,male,26.0,1.0,0.0,7.8542,S
3,0,male,16.0,0.0,0.0,7.775,S
3,0,male,17.0,0.0,0.0,8.6625,S
2,0,male,43.0,0.0,1.0,21.0,S
3,0,female,45.0,0.0,0.0,7.75,S
1,0,male,41.0,1.0,0.0,51.8625,S
1,1,female,35.0,0.0,0.0,135.6333,S
1,1,female,41.0,0.0,0.0,134.5,C
3,0,male,22.0,0.0,0.0,9.35,S
1,0,male,31.0,1.0,0.0,52.0,S
1,1,female,30.0,0.0,0.0,93.5,S
3,1,female,33.0,3.0,0.0,15.85,S
2,1,female,0.9167,1.0,2.0,27.75,S
1,1,female,63.0,1.0,0.0,77.9583,S
2,1,female,40.0,0.0,0.0,15.75,S
2,0,male,23.0,0.0,0.0,15.0458,C
3,0,male,19.0,0.0,0.0,7.775,S
3,0,male,24.0,0.0,0.0,7.8542,S
1,0,female,50.0,0.0,0.0,28.7125,C
1,1,female,45.0,1.0,0.0,52.5542,S
3,0,male,44.0,0.0,0.0,8.05,S
3,0,male,17.0,0.0,0.0,7.125,S
2,0,male,18.0,0.0,0.0,10.5,S
3,1,male,29.0,0.0,0.0,7.8958,C
2,0,female,30.0,0.0,0.0,13.0,S
