연도,구분,강력범죄,절도범죄,폭력범죄,지능범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,선거범죄,병역범죄,기타범죄
2014,발생건수,800,900,750,650,700,1034,600,850,800,900,750,800,700,1000
2014,검거건수,500,600,400,450,400,961,350,500,450,550,400,450,400,600
2015,발생건수,900,768,800,750,700,1000,850,800,900,950,800,850,750,1000
2015,검거건수,600,713,500,550,400,600,500,450,550,600,450,500,400,600
2016,발생건수,850,800,880,750,700,950,900,800,850,900,750,800,700,950
2016,검거건수,500,600,812,550,400,600,500,450,500,550,400,450,400,600
2017,발생건수,1000,900,850,800,750,950,1400,900,1000,950,800,850,750,900
2017,검거건수,600,500,500,550,400,600,1300,500,550,600,450,500,400,500
2018,발생건수,1450,900,850,800,750,950,900,800,850,900,750,800,700,950
2018,검거건수,1350,600,500,550,400,600,500,450,500,550,400,450,400,600
2019,발생건수,1000,900,850,800,750,950,900,1400,1000,950,800,850,750,900
2019,검거건수,600,500,500,550,400,600,500,1300,550,600,450,500,400,500
2020,발생건수,1000,900,850,1500,750,950,900,800,850,900,750,800,700,950
2020,검거건수,600,500,500,1363,400,600,500,450,500,550,400,450,400,600
